=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.07.19 15:14:08 =~=~=~=~=~=~=~=~=~=~=~=
I1 value: 521 corresponding to 1.38383 VDC
I2 value: 1 corresponding to 0.00266 VDC
I3 value: 1835 corresponding to 4.87394 VDC
I4 value: 2394 corresponding to 6.35870 VDC
I5 value: 1861 corresponding to 4.94300 VDC
I6 value: 2346 corresponding to 6.23121 VDC
I1 value: 520 corresponding to 1.38117 VDC
I2 value: 2 corresponding to 0.00531 VDC
I3 value: 1839 corresponding to 4.88457 VDC
I4 value: 2389 corresponding to 6.34542 VDC
I5 value: 1868 corresponding to 4.96160 VDC
I6 value: 2347 corresponding to 6.23387 VDC
I1 value: 519 corresponding to 1.37852 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1835 corresponding to 4.87394 VDC
I4 value: 2388 corresponding to 6.34277 VDC
I5 value: 1866 corresponding to 4.95628 VDC
I6 value: 2348 corresponding to 6.23652 VDC
I1 value: 520 corresponding to 1.38117 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1836 corresponding to 4.87660 VDC
I4 value: 2389 corresponding to 6.34542 VDC
I5 value: 1869 corresponding to 4.96425 VDC
I6 value: 2348 corresponding to 6.23652 VDC
I1 value: 519 corresponding to 1.37852 VDC
I2 value: 2 corresponding to 0.00531 VDC
I3 value: 1841 corresponding to 4.88988 VDC
I4 value: 2392 corresponding to 6.35339 VDC
I5 value: 1866 corresponding to 4.95628 VDC
I6 value: 2350 corresponding to 6.24184 VDC
I1 value: 522 corresponding to 1.38648 VDC
I2 value: 2 corresponding to 0.00531 VDC
I3 value: 1837 corresponding to 4.87926 VDC
I4 value: 2392 corresponding to 6.35339 VDC
I5 value: 1863 corresponding to 4.94831 VDC
I6 value: 2348 corresponding to 6.23652 VDC
I1 value: 519 corresponding to 1.37852 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1838 corresponding to 4.88191 VDC
I4 value: 2390 corresponding to 6.34808 VDC
I5 value: 1863 corresponding to 4.94831 VDC
I6 value: 2348 corresponding to 6.23652 VDC
I1 value: 523 corresponding to 1.38914 VDC
I2 value: 2 corresponding to 0.00531 VDC
I3 value: 1841 corresponding to 4.88988 VDC
I4 value: 2391 corresponding to 6.35074 VDC
I5 value: 1862 corresponding to 4.94566 VDC
I6 value: 2346 corresponding to 6.23121 VDC
I1 value: 523 corresponding to 1.38914 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1838 corresponding to 4.88191 VDC
I4 value: 2392 corresponding to 6.35339 VDC
I5 value: 1865 corresponding to 4.95363 VDC
I6 value: 2351 corresponding to 6.24449 VDC
I1 value: 519 corresponding to 1.37852 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1839 corresponding to 4.88457 VDC
I4 value: 2389 corresponding to 6.34542 VDC
I5 value: 1864 corresponding to 4.95097 VDC
I6 value: 2349 corresponding to 6.23918 VDC
I1 value: 523 corresponding to 1.38914 VDC
I2 value: 1 corresponding to 0.00266 VDC
I3 value: 1838 corresponding to 4.88191 VDC
I4 value: 2391 corresponding to 6.35074 VDC
I5 value: 1861 corresponding to 4.94300 VDC
I6 value: 2346 corresponding to 6.23121 VDC
I1 value: 520 corresponding to 1.38117 VDC
I2 value: 1 corresponding to 0.00266 VDC
I3 value: 1834 corresponding to 4.87129 VDC
I4 value: 2392 corresponding to 6.35339 VDC
I5 value: 1862 corresponding to 4.94566 VDC
I6 value: 2346 corresponding to 6.23121 VDC
I1 value: 520 corresponding to 1.38117 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1837 corresponding to 4.87926 VDC
I4 value: 2392 corresponding to 6.35339 VDC
I5 value: 1861 corresponding to 4.94300 VDC
I6 value: 2348 corresponding to 6.23652 VDC
I1 value: 520 corresponding to 1.38117 VDC
I2 value: 1 corresponding to 0.00266 VDC
I3 value: 1837 corresponding to 4.87926 VDC
I4 value: 2394 corresponding to 6.35870 VDC
I5 value: 1861 corresponding to 4.94300 VDC
I6 value: 2346 corresponding to 6.23121 VDC
I1 value: 523 corresponding to 1.38914 VDC
I2 value: 2 corresponding to 0.00531 VDC
I3 value: 1841 corresponding to 4.88988 VDC
I4 value: 2393 corresponding to 6.35605 VDC
I5 value: 1860 corresponding to 4.94035 VDC
I6 value: 2349 corresponding to 6.23918 VDC
I1 value: 522 corresponding to 1.38648 VDC
I2 value: 3 corresponding to 0.00797 VDC
I3 value: 1837 corresponding to 4.87926 VDC
I4 value: 2395 corresponding to 6.36136 VDC
I5 value: 1862 corresponding to 4.94566 VDC
I6 value: 2345 corresponding to 6.22855 VDC
I1 value: 523 corresponding to 1.38914 VDC
I2 value: 1 corresponding to 0.00266 VDC
I3 value: 1837 corresponding to 4.87926 VDC
I4 value: 2393 corresponding to 6.35605 VDC
I5 value: 1864 corresponding to 4.95097 VDC
I6 value: 2349 corresponding to 6.23918 VDC
I1 value: 521 corresponding to 1.38383 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1838 corresponding to 4.88191 VDC
I4 value: 2397 corresponding to 6.36667 VDC
I5 value: 1864 corresponding to 4.95097 VDC
I6 value: 2346 corresponding to 6.23121 VDC
I1 value: 523 corresponding to 1.38914 VDC
I2 value: 1 corresponding to 0.00266 VDC
I3 value: 1836 corresponding to 4.87660 VDC
I4 value: 2393 corresponding to 6.35605 VDC
I5 value: 1863 corresponding to 4.94831 VDC
I6 value: 2349 corresponding to 6.23918 VDC
I1 value: 523 corresponding to 1.38914 VDC
I2 value: 1 corresponding to 0.00266 VDC
I3 value: 1840 corresponding to 4.88722 VDC
I4 value: 2388 corresponding to 6.34277 VDC
I5 value: 1864 corresponding to 4.95097 VDC
I6 value: 2349 corresponding to 6.23918 VDC
I1 value: 521 corresponding to 1.38383 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1839 corresponding to 4.88457 VDC
I4 value: 2390 corresponding to 6.34808 VDC
I5 value: 1867 corresponding to 4.95894 VDC
I6 value: 2347 corresponding to 6.23387 VDC
I1 value: 520 corresponding to 1.38117 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1841 corresponding to 4.88988 VDC
I4 value: 2390 corresponding to 6.34808 VDC
I5 value: 1867 corresponding to 4.95894 VDC
I6 value: 2345 corresponding to 6.22855 VDC
I1 value: 521 corresponding to 1.38383 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1836 corresponding to 4.87660 VDC
I4 value: 2388 corresponding to 6.34277 VDC
I5 value: 1863 corresponding to 4.94831 VDC
I6 value: 2346 corresponding to 6.23121 VDC
I1 value: 519 corresponding to 1.37852 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1840 corresponding to 4.88722 VDC
I4 value: 2389 corresponding to 6.34542 VDC
I5 value: 1863 corresponding to 4.94831 VDC
I6 value: 2349 corresponding to 6.23918 VDC
I1 value: 520 corresponding to 1.38117 VDC
I2 value: 1 corresponding to 0.00266 VDC
I3 value: 1839 corresponding to 4.88457 VDC
I4 value: 2390 corresponding to 6.34808 VDC
I5 value: 1866 corresponding to 4.95628 VDC
I6 value: 2349 corresponding to 6.23918 VDC
I1 value: 519 corresponding to 1.37852 VDC
I2 value: 1 corresponding to 0.00266 VDC
I3 value: 1842 corresponding to 4.89254 VDC
I4 value: 2384 corresponding to 6.33214 VDC
I5 value: 1866 corresponding to 4.95628 VDC
I6 value: 2350 corresponding to 6.24184 VDC
I1 value: 519 corresponding to 1.37852 VDC
I2 value: 4 corresponding to 0.01062 VDC
I3 value: 1841 corresponding to 4.88988 VDC
I4 value: 2389 corresponding to 6.34542 VDC
I5 value: 1864 corresponding to 4.95097 VDC
I6 value: 2352 corresponding to 6.24715 VDC
I1 value: 520 corresponding to 1.38117 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1837 corresponding to 4.87926 VDC
I4 value: 2392 corresponding to 6.35339 VDC
I5 value: 1864 corresponding to 4.95097 VDC
I6 value: 2351 corresponding to 6.24449 VDC
I1 value: 523 corresponding to 1.38914 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1837 corresponding to 4.87926 VDC
I4 value: 2393 corresponding to 6.35605 VDC
I5 value: 1865 corresponding to 4.95363 VDC
I6 value: 2348 corresponding to 6.23652 VDC
I1 value: 522 corresponding to 1.38648 VDC
I2 value: 1 corresponding to 0.00266 VDC
I3 value: 1839 corresponding to 4.88457 VDC
I4 value: 2394 corresponding to 6.35870 VDC
I5 value: 1863 corresponding to 4.94831 VDC
I6 value: 2348 corresponding to 6.23652 VDC
I1 value: 520 corresponding to 1.38117 VDC
I2 value: 1 corresponding to 0.00266 VDC
I3 value: 1839 corresponding to 4.88457 VDC
I4 value: 2394 corresponding to 6.35870 VDC
I5 value: 1861 corresponding to 4.94300 VDC
I6 value: 2350 corresponding to 6.24184 VDC
I1 value: 517 corresponding to 1.37320 VDC
I2 value: 2 corresponding to 0.00531 VDC
I3 value: 1841 corresponding to 4.88988 VDC
I4 value: 2392 corresponding to 6.35339 VDC
I5 value: 1865 corresponding to 4.95363 VDC
I6 value: 2346 corresponding to 6.23121 VDC
I1 value: 523 corresponding to 1.38914 VDC
I2 value: 1 corresponding to 0.00266 VDC
I3 value: 1832 corresponding to 4.86598 VDC
I4 value: 2388 corresponding to 6.34277 VDC
I5 value: 1864 corresponding to 4.95097 VDC
I6 value: 2349 corresponding to 6.23918 VDC
I1 value: 520 corresponding to 1.38117 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1833 corresponding to 4.86863 VDC
I4 value: 2388 corresponding to 6.34277 VDC
I5 value: 1868 corresponding to 4.96160 VDC
I6 value: 2349 corresponding to 6.23918 VDC
I1 value: 523 corresponding to 1.38914 VDC
I2 value: 1 corresponding to 0.00266 VDC
I3 value: 1835 corresponding to 4.87394 VDC
I4 value: 2389 corresponding to 6.34542 VDC
I5 value: 1863 corresponding to 4.94831 VDC
I6 value: 2350 corresponding to 6.24184 VDC
I1 value: 520 corresponding to 1.38117 VDC
I2 value: 1 corresponding to 0.00266 VDC
I3 value: 1835 corresponding to 4.87394 VDC
I4 value: 2391 corresponding to 6.35074 VDC
I5 value: 1862 corresponding to 4.94566 VDC
I6 value: 2348 corresponding to 6.23652 VDC
I1 value: 523 corresponding to 1.38914 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1836 corresponding to 4.87660 VDC
I4 value: 2390 corresponding to 6.34808 VDC
I5 value: 1864 corresponding to 4.95097 VDC
I6 value: 2347 corresponding to 6.23387 VDC
I1 value: 521 corresponding to 1.38383 VDC
I2 value: 2 corresponding to 0.00531 VDC
I3 value: 1834 corresponding to 4.87129 VDC
I4 value: 2389 corresponding to 6.34542 VDC
I5 value: 1860 corresponding to 4.94035 VDC
I6 value: 2351 corresponding to 6.24449 VDC
I1 value: 521 corresponding to 1.38383 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1836 corresponding to 4.87660 VDC
I4 value: 2392 corresponding to 6.35339 VDC
I5 value: 1857 corresponding to 4.93238 VDC
I6 value: 2345 corresponding to 6.22855 VDC
I1 value: 520 corresponding to 1.38117 VDC
I2 value: 2 corresponding to 0.00531 VDC
I3 value: 1841 corresponding to 4.88988 VDC
I4 value: 2390 corresponding to 6.34808 VDC
I5 value: 1864 corresponding to 4.95097 VDC
I6 value: 2346 corresponding to 6.23121 VDC
I1 value: 520 corresponding to 1.38117 VDC
I2 value: 2 corresponding to 0.00531 VDC
I3 value: 1840 corresponding to 4.88722 VDC
I4 value: 2391 corresponding to 6.35074 VDC
I5 value: 1863 corresponding to 4.94831 VDC
I6 value: 2347 corresponding to 6.23387 VDC
I1 value: 526 corresponding to 1.39711 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1841 corresponding to 4.88988 VDC
I4 value: 2389 corresponding to 6.34542 VDC
I5 value: 1864 corresponding to 4.95097 VDC
I6 value: 2345 corresponding to 6.22855 VDC
I1 value: 522 corresponding to 1.38648 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1836 corresponding to 4.87660 VDC
I4 value: 2390 corresponding to 6.34808 VDC
I5 value: 1864 corresponding to 4.95097 VDC
I6 value: 2342 corresponding to 6.22059 VDC
I1 value: 521 corresponding to 1.38383 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1837 corresponding to 4.87926 VDC
I4 value: 2387 corresponding to 6.34011 VDC
I5 value: 1865 corresponding to 4.95363 VDC
I6 value: 2346 corresponding to 6.23121 VDC
I1 value: 519 corresponding to 1.37852 VDC
I2 value: 2 corresponding to 0.00531 VDC
I3 value: 1832 corresponding to 4.86598 VDC
I4 value: 2388 corresponding to 6.34277 VDC
I5 value: 1864 corresponding to 4.95097 VDC
I6 value: 2344 corresponding to 6.22590 VDC
I1 value: 523 corresponding to 1.38914 VDC
I2 value: 1 corresponding to 0.00266 VDC
I3 value: 1835 corresponding to 4.87394 VDC
I4 value: 2388 corresponding to 6.34277 VDC
I5 value: 1866 corresponding to 4.95628 VDC
I6 value: 2346 corresponding to 6.23121 VDC
I1 value: 523 corresponding to 1.38914 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1836 corresponding to 4.87660 VDC
I4 value: 2389 corresponding to 6.34542 VDC
I5 value: 1867 corresponding to 4.95894 VDC
I6 value: 2345 corresponding to 6.22855 VDC
I1 value: 523 corresponding to 1.38914 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1837 corresponding to 4.87926 VDC
I4 value: 2390 corresponding to 6.34808 VDC
I5 value: 1864 corresponding to 4.95097 VDC
I6 value: 2341 corresponding to 6.21793 VDC
I1 value: 524 corresponding to 1.39180 VDC
I2 value: 1 corresponding to 0.00266 VDC
I3 value: 1837 corresponding to 4.87926 VDC
I4 value: 2393 corresponding to 6.35605 VDC
I5 value: 1866 corresponding to 4.95628 VDC
I6 value: 2340 corresponding to 6.21527 VDC
I1 value: 521 corresponding to 1.38383 VDC
I2 value: 4 corresponding to 0.01062 VDC
I3 value: 1839 corresponding to 4.88457 VDC
I4 value: 2391 corresponding to 6.35074 VDC
I5 value: 1866 corresponding to 4.95628 VDC
I6 value: 2345 corresponding to 6.22855 VDC
I1 value: 523 corresponding to 1.38914 VDC
I2 value: 1 corresponding to 0.00266 VDC
I3 value: 1837 corresponding to 4.87926 VDC
I4 value: 2390 corresponding to 6.34808 VDC
I5 value: 1864 corresponding to 4.95097 VDC
I6 value: 2349 corresponding to 6.23918 VDC
I1 value: 523 corresponding to 1.38914 VDC
I2 value: 1 corresponding to 0.00266 VDC
I3 value: 1837 corresponding to 4.87926 VDC
I4 value: 2393 corresponding to 6.35605 VDC
I5 value: 1862 corresponding to 4.94566 VDC
I6 value: 2351 corresponding to 6.24449 VDC
I1 value: 522 corresponding to 1.38648 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1835 corresponding to 4.87394 VDC
I4 value: 2393 corresponding to 6.35605 VDC
I5 value: 1863 corresponding to 4.94831 VDC
I6 value: 2350 corresponding to 6.24184 VDC
I1 value: 519 corresponding to 1.37852 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1839 corresponding to 4.88457 VDC
I4 value: 2387 corresponding to 6.34011 VDC
I5 value: 1866 corresponding to 4.95628 VDC
I6 value: 2346 corresponding to 6.23121 VDC
I1 value: 522 corresponding to 1.38648 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1840 corresponding to 4.88722 VDC
I4 value: 2391 corresponding to 6.35074 VDC
I5 value: 1865 corresponding to 4.95363 VDC
I6 value: 2350 corresponding to 6.24184 VDC
I1 value: 523 corresponding to 1.38914 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1834 corresponding to 4.87129 VDC
I4 value: 2390 corresponding to 6.34808 VDC
I5 value: 1869 corresponding to 4.96425 VDC
I6 value: 2349 corresponding to 6.23918 VDC
I1 value: 526 corresponding to 1.39711 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1837 corresponding to 4.87926 VDC
I4 value: 2392 corresponding to 6.35339 VDC
I5 value: 1866 corresponding to 4.95628 VDC
I6 value: 2350 corresponding to 6.24184 VDC
I1 value: 517 corresponding to 1.37320 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1837 corresponding to 4.87926 VDC
I4 value: 2392 corresponding to 6.35339 VDC
I5 value: 1867 corresponding to 4.95894 VDC
I6 value: 2346 corresponding to 6.23121 VDC
I1 value: 520 corresponding to 1.38117 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1841 corresponding to 4.88988 VDC
I4 value: 2391 corresponding to 6.35074 VDC
I5 value: 1863 corresponding to 4.94831 VDC
I6 value: 2348 corresponding to 6.23652 VDC
I1 value: 520 corresponding to 1.38117 VDC
I2 value: 2 corresponding to 0.00531 VDC
I3 value: 1837 corresponding to 4.87926 VDC
I4 value: 2394 corresponding to 6.35870 VDC
I5 value: 1863 corresponding to 4.94831 VDC
I6 value: 2347 corresponding to 6.23387 VDC
I1 value: 523 corresponding to 1.38914 VDC
I2 value: 2 corresponding to 0.00531 VDC
I3 value: 1843 corresponding to 4.89519 VDC
I4 value: 2393 corresponding to 6.35605 VDC
I5 value: 1865 corresponding to 4.95363 VDC
I6 value: 2348 corresponding to 6.23652 VDC
I1 value: 520 corresponding to 1.38117 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1840 corresponding to 4.88722 VDC
I4 value: 2387 corresponding to 6.34011 VDC
I5 value: 1865 corresponding to 4.95363 VDC
I6 value: 2345 corresponding to 6.22855 VDC
I1 value: 520 corresponding to 1.38117 VDC
I2 value: 1 corresponding to 0.00266 VDC
I3 value: 1837 corresponding to 4.87926 VDC
I4 value: 2394 corresponding to 6.35870 VDC
I5 value: 1862 corresponding to 4.94566 VDC
I6 value: 2347 corresponding to 6.23387 VDC
I1 value: 521 corresponding to 1.38383 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1837 corresponding to 4.87926 VDC
I4 value: 2392 corresponding to 6.35339 VDC
I5 value: 1867 corresponding to 4.95894 VDC
I6 value: 2349 corresponding to 6.23918 VDC
I1 value: 519 corresponding to 1.37852 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1836 corresponding to 4.87660 VDC
I4 value: 2388 corresponding to 6.34277 VDC
I5 value: 1866 corresponding to 4.95628 VDC
I6 value: 2352 corresponding to 6.24715 VDC
I1 value: 523 corresponding to 1.38914 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1834 corresponding to 4.87129 VDC
I4 value: 2392 corresponding to 6.35339 VDC
I5 value: 1867 corresponding to 4.95894 VDC
I6 value: 2348 corresponding to 6.23652 VDC
I1 value: 523 corresponding to 1.38914 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1837 corresponding to 4.87926 VDC
I4 value: 2388 corresponding to 6.34277 VDC
I5 value: 1865 corresponding to 4.95363 VDC
I6 value: 2348 corresponding to 6.23652 VDC
I1 value: 520 corresponding to 1.38117 VDC
I2 value: 4 corresponding to 0.01062 VDC
I3 value: 1839 corresponding to 4.88457 VDC
I4 value: 2389 corresponding to 6.34542 VDC
I5 value: 1865 corresponding to 4.95363 VDC
I6 value: 2350 corresponding to 6.24184 VDC
I1 value: 518 corresponding to 1.37586 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1837 corresponding to 4.87926 VDC
I4 value: 2388 corresponding to 6.34277 VDC
I5 value: 1869 corresponding to 4.96425 VDC
I6 value: 2344 corresponding to 6.22590 VDC
I1 value: 525 corresponding to 1.39445 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1837 corresponding to 4.87926 VDC
I4 value: 2389 corresponding to 6.34542 VDC
I5 value: 1868 corresponding to 4.96160 VDC
I6 value: 2345 corresponding to 6.22855 VDC
I1 value: 520 corresponding to 1.38117 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1839 corresponding to 4.88457 VDC
I4 value: 2391 corresponding to 6.35074 VDC
I5 value: 1865 corresponding to 4.95363 VDC
I6 value: 2347 corresponding to 6.23387 VDC
I1 value: 523 corresponding to 1.38914 VDC
I2 value: 1 corresponding to 0.00266 VDC
I3 value: 1836 corresponding to 4.87660 VDC
I4 value: 2390 corresponding to 6.34808 VDC
I5 value: 1864 corresponding to 4.95097 VDC
I6 value: 2345 corresponding to 6.22855 VDC
I1 value: 519 corresponding to 1.37852 VDC
I2 value: 3 corresponding to 0.00797 VDC
I3 value: 1840 corresponding to 4.88722 VDC
I4 value: 2392 corresponding to 6.35339 VDC
I5 value: 1865 corresponding to 4.95363 VDC
I6 value: 2345 corresponding to 6.22855 VDC
I1 value: 521 corresponding to 1.38383 VDC
I2 value: 1 corresponding to 0.00266 VDC
I3 value: 1836 corresponding to 4.87660 VDC
I4 value: 2391 corresponding to 6.35074 VDC
I5 value: 1865 corresponding to 4.95363 VDC
I6 value: 2349 corresponding to 6.23918 VDC
I1 value: 522 corresponding to 1.38648 VDC
I2 value: 0 corresponding to 0.00000 VDC
I3 value: 1838 corresponding to 4.88191 VDC
I4 value: 2394 corresponding to 6.35870 VDC
I5 value: 1864 corresponding to 4.95097 VDC
I6 value: 2348 corresponding to 6.23652 VDC
I1 value: 520 corresponding to 1.38117 VDC
